filename,width,height,class,xmin,ymin,xmax,ymax
Japan_000000.jpg,600,600,D20,406,475,600,596
Japan_000000.jpg,600,600,D40,409,373,598,472
Japan_000000.jpg,600,600,D10,394,518,557,554
Japan_000000.jpg,600,600,D00,510,454,560,542
Japan_000001.jpg,600,600,D44,1,344,217,599
Japan_000001.jpg,600,600,D10,139,415,598,461
Japan_000001.jpg,600,600,D10,32,428,137,449
Japan_000002.jpg,600,600,D43,2,406,600,536
Japan_000002.jpg,600,600,D50,161,387,219,402
Japan_000002.jpg,600,600,D50,253,389,307,400
Japan_000002.jpg,600,600,D50,453,408,497,424
Japan_000003.jpg,600,600,D20,151,427,581,600
Japan_000003.jpg,600,600,D20,2,493,53,581
Japan_000004.jpg,600,600,D20,13,364,600,597
Japan_000004.jpg,600,600,D50,14,323,49,334
Japan_000004.jpg,600,600,D50,50,336,77,344
Japan_000005.jpg,600,600,D44,337,397,490,544
Japan_000005.jpg,600,600,D43,332,378,423,400
Japan_000006.jpg,600,600,D44,268,209,335,315
Japan_000006.jpg,600,600,D00,204,230,248,414
Japan_000006.jpg,600,600,D20,250,248,385,425
Japan_000006.jpg,600,600,D10,450,482,520,501
Japan_000008.jpg,600,600,D44,410,425,552,593
Japan_000009.jpg,600,600,D20,206,462,279,562
Japan_000011.jpg,600,600,D00,77,429,254,598
Japan_000011.jpg,600,600,D20,368,424,560,600
Japan_000012.jpg,600,600,D44,294,305,600,537
Japan_000012.jpg,600,600,D20,97,399,250,588
Japan_000012.jpg,600,600,D20,401,455,600,600
Japan_000012.jpg,600,600,D44,1,372,158,539
Japan_000013.jpg,600,600,D40,393,490,430,529
Japan_000013.jpg,600,600,D20,62,427,587,600
Japan_000013.jpg,600,600,D40,125,437,144,457
Japan_000014.jpg,600,600,D00,177,451,203,519
Japan_000014.jpg,600,600,D44,312,396,491,563
Japan_000014.jpg,600,600,D44,7,425,195,578
Japan_000015.jpg,600,600,D20,36,172,576,519
Japan_000015.jpg,600,600,D44,6,124,263,413
Japan_000015.jpg,600,600,D44,276,124,341,159
Japan_000015.jpg,600,600,D20,329,156,467,243
Japan_000017.jpg,600,600,D40,144,530,228,592
Japan_000017.jpg,600,600,D40,238,534,317,564
Japan_000017.jpg,600,600,D20,320,353,600,600
Japan_000017.jpg,600,600,D20,61,366,202,508
Japan_000017.jpg,600,600,D50,191,561,330,600
Japan_000018.jpg,600,600,D00,412,354,524,469
Japan_000018.jpg,600,600,D44,1,237,221,556
Japan_000018.jpg,600,600,D00,229,310,279,387
Japan_000018.jpg,600,600,D00,273,392,298,460
Japan_000019.jpg,1080,1080,D20,104,981,276,1072
Japan_000020.jpg,600,600,D20,59,517,234,600
Japan_000020.jpg,600,600,D10,384,462,481,484
Japan_000020.jpg,600,600,D10,360,425,439,439
Japan_000020.jpg,600,600,D10,236,505,353,530
Japan_000020.jpg,600,600,D10,247,570,345,589
Japan_000020.jpg,600,600,D10,254,425,338,446
Japan_000022.jpg,600,600,D50,123,529,265,589
Japan_000023.jpg,1024,1024,D40,475,221,664,355
Japan_000024.jpg,600,600,D20,1,383,83,518
Japan_000024.jpg,600,600,D44,235,317,600,600
Japan_000024.jpg,600,600,D44,35,312,151,404
Japan_000024.jpg,600,600,D20,292,422,479,565
Japan_000024.jpg,600,600,D20,145,414,282,590
Japan_000025.jpg,600,600,D20,72,392,600,597
Japan_000025.jpg,600,600,D50,3,373,59,384
Japan_000026.jpg,600,600,D44,1,299,213,485
Japan_000026.jpg,600,600,D00,315,426,335,489
Japan_000026.jpg,600,600,D00,283,361,300,396
